,pvals_adj,logfcs,names,is_de
55,2.005137747194736e-09,-38.981624603271484,rsd,1
53,2.005137747194736e-09,-35.24371337890625,fecA,1
67,4.3838625731786205e-09,-8.876115798950195,ykgM,1
142,6.355903891463288e-09,-8.214936256408691,ykgO,1
15,1.29743646294967e-09,6.959643840789795,ilvX,1
104,4.3838625731786205e-09,-6.441527366638184,zinT,1
41,1.7290286924116702e-09,6.177517414093018,thrA,1
5,1.29743646294967e-09,5.007629871368408,cysA,1
17,1.29743646294967e-09,4.941130638122559,cysU,1
14,1.29743646294967e-09,4.881462574005127,cysP,1
93,4.3838625731786205e-09,4.679592609405518,cysW,1
57,2.501281861704528e-09,4.628616809844971,cysD,1
3,1.29743646294967e-09,-4.552163600921631,ompR,1
12,1.29743646294967e-09,4.347690105438232,cysC,1
31,1.4846592410131786e-09,4.224069118499756,cysN,1
64,3.843830999706016e-09,4.0813093185424805,thrB,1
8,1.29743646294967e-09,4.06879186630249,yciW,1
253,3.1082426455834477e-08,4.033588409423828,ilvM,1
99,4.3838625731786205e-09,3.9077885150909424,cysI,1
16,1.29743646294967e-09,3.901777982711792,ilvL,1
36,1.7290286924116702e-09,3.885869026184082,cysJ,1
74,4.3838625731786205e-09,3.8393585681915283,cysK,1
112,4.3838625731786205e-09,3.7922916412353516,thrC,1
18,1.29743646294967e-09,3.7287395000457764,yeeD,1
38,1.7290286924116702e-09,3.71262788772583,aceA,1
10,1.29743646294967e-09,3.6743688583374023,cysM,1
48,2.005137747194736e-09,3.636827230453491,aceB,1
121,4.556707691850564e-09,3.6011219024658203,cysH,1
73,4.3838625731786205e-09,-3.577275037765503,nrdH,1
315,1.0889454189675537e-07,-3.3300089836120605,yfjW,1
20,1.29743646294967e-09,3.2765872478485107,yeeE,1
23,1.29743646294967e-09,-3.215454339981079,fxsA,1
214,1.7522844040882694e-08,-3.1990957260131836,csgD,1
40,1.7290286924116702e-09,3.1226632595062256,thrL,1
169,8.524004618538604e-09,-3.083205461502075,nrdI,1
356,3.11659875515557e-07,-3.0608878135681152,yqeC,1
185,9.777809894475453e-09,-2.9913065433502197,nrdF,1
35,1.7290286924116702e-09,2.965204954147339,icd,1
110,4.3838625731786205e-09,-2.948601007461548,dctR,1
95,4.3838625731786205e-09,-2.9053537845611572,nrdD,1
69,4.3838625731786205e-09,-2.8913962841033936,ykgL,1
149,6.9069776618967016e-09,2.881974220275879,ribB,1
7,1.29743646294967e-09,2.852444887161255,puuA,1
238,2.6057726774745094e-08,-2.827031135559082,uxaB,1
232,2.4382364433310672e-08,2.815077543258667,iraD,1
84,4.3838625731786205e-09,-2.8133766651153564,nrdG,1
105,4.3838625731786205e-09,-2.7596793174743652,znuA,1
71,4.3838625731786205e-09,-2.7255797386169434,ynfM,1
43,1.7290286924116702e-09,2.6947343349456787,purA,1
344,2.367545876721213e-07,-2.6865830421447754,tdcA,1
0,1.29743646294967e-09,2.6821751594543457,puuD,1
85,4.3838625731786205e-09,-2.6727850437164307,hdeD,1
107,4.3838625731786205e-09,-2.652736186981201,slp,1
113,4.3838625731786205e-09,-2.6259188652038574,nrdE,1
874,0.0006762783496308233,2.6201508045196533,ymgC,1
19,1.29743646294967e-09,-2.545860528945923,ygdH,1
77,4.3838625731786205e-09,-2.5441641807556152,envZ,1
2,1.29743646294967e-09,2.536905288696289,sdhC,1
288,5.757910793046441e-08,2.484128713607788,aceK,1
316,1.1752889800669137e-07,2.481977701187134,ymgA,1
87,4.3838625731786205e-09,-2.4633543491363525,mepM,1
109,4.3838625731786205e-09,2.4533350467681885,nlpA,1
255,3.1082426455834477e-08,2.4152541160583496,ygbE,1
159,7.658002775982535e-09,-2.3854928016662598,macB,1
528,8.743497368605447e-06,-2.3718175888061523,bsmA,1
173,8.979487057954079e-09,2.371678590774536,ycgZ,1
498,5.363732742990136e-06,-2.364098072052002,yjfN,1
4,1.29743646294967e-09,2.3609116077423096,sdhD,1
94,4.3838625731786205e-09,-2.3494887351989746,mqsR,1
625,3.830024663792356e-05,-2.332301378250122,yncL,1
178,8.979487057954079e-09,-2.3204283714294434,ytfR,1
277,4.5167424672240306e-08,-2.319624185562134,yhiD,1
166,8.407064864331037e-09,-2.3030574321746826,mlc,1
9,1.29743646294967e-09,2.2935612201690674,hmp,1
231,2.3688177793079338e-08,-2.292631149291992,lsrF,1
100,4.3838625731786205e-09,2.2853901386260986,gltA,1
1535,0.0431506014504,-2.2802915573120117,csgE,1
220,2.1034880836104344e-08,-2.257338762283325,yhjX,1
139,5.7347468881585895e-09,2.250182867050171,phoH,1
6,1.29743646294967e-09,2.229221820831299,sdhA,1
158,7.658002775982535e-09,-2.204016923904419,melB,1
33,1.5812121899184247e-09,2.1944093704223633,sbp,1
172,8.524004618538604e-09,2.184481382369995,ilvE,1
305,8.448004545760046e-08,-2.176177740097046,gadE,1
148,6.9069776618967016e-09,-2.175755739212036,ycjX,1
78,4.3838625731786205e-09,-2.1730384826660156,greB,1
56,2.1582160287247724e-09,-2.1662139892578125,hdeA,1
626,3.9285378723705304e-05,2.1542093753814697,yihD,1
485,3.7439725284819494e-06,-2.1430084705352783,mocA,1
164,8.148737946981182e-09,-2.115325927734375,ytfQ,1
1,1.29743646294967e-09,-2.109604835510254,glsA,1
501,5.891214508915901e-06,-2.1027050018310547,ydcV,1
756,0.00021505298024417966,2.1020493507385254,fadB,1
381,5.565226571102606e-07,-2.0941479206085205,melA,1
910,0.0009922553667871931,2.0917131900787354,pinE,1
988,0.0018875395569310858,2.0888078212738037,guaB,1
81,4.3838625731786205e-09,2.0677013397216797,moaB,1
222,2.2566603397139628e-08,-2.0648462772369385,yjfF,1
1462,0.03242008485072169,-2.0592288970947266,yfdF,1
264,3.555459918204121e-08,-2.053501844406128,ytfT,1
230,2.3688177793079338e-08,-2.0487287044525146,yibA,1
688,9.688433542840696e-05,2.0485169887542725,cspG,1
226,2.2916518925262384e-08,2.0458316802978516,aroD,1
276,4.351402897281643e-08,-2.0069308280944824,lsrD,1
153,7.339295224709754e-09,2.0002567768096924,yedF,1
197,1.1380075469360726e-08,-1.9846585988998413,ycjF,1
414,1.079646048678783e-06,-1.9510886669158936,ydcU,1
118,4.505409078624057e-09,-1.9508730173110962,ybaT,1
66,4.3838625731786205e-09,1.9462352991104126,ilvD,1
236,2.5205787090839707e-08,-1.9460194110870361,lsrC,1
89,4.3838625731786205e-09,1.9430352449417114,zntA,1
699,0.00010779383285298194,1.931067943572998,deaD,1
101,4.3838625731786205e-09,-1.9284149408340454,znuC,1
102,4.3838625731786205e-09,1.9025700092315674,ydjN,1
217,1.8800077062166446e-08,-1.902402639389038,lsrG,1
21,1.29743646294967e-09,-1.8966279029846191,dnaJ,1
849,0.0005304110575412481,1.8873579502105713,bhsA,1
1483,0.03451133042479014,-1.8847343921661377,ecpR,1
39,1.7290286924116702e-09,1.8832952976226807,ppiB,1
96,4.3838625731786205e-09,-1.8655972480773926,mqsA,1
778,0.0002788784546465046,1.864848256111145,iclR,1
1338,0.018805977897961675,-1.8642104864120483,ykgR,1
1295,0.014571762044111909,1.8641225099563599,yrbN,1
1148,0.006855552451910833,-1.8607920408248901,gnsB,1
24,1.29743646294967e-09,1.857460856437683,yccA,1
1058,0.003202161552777281,1.8564703464508057,ydjO,1
61,2.8080969593572694e-09,1.8463034629821777,sucC,1
125,4.686412706380352e-09,1.845455527305603,sdhB,1
520,7.458509133748146e-06,1.8440947532653809,cusF,1
467,2.7357452406954243e-06,-1.8422753810882568,ompC,1
92,4.3838625731786205e-09,-1.831709861755371,ymdF,1
29,1.3556026899781367e-09,1.8291045427322388,iaaA,1
894,0.0008660467000073096,1.8177402019500732,glxR,1
972,0.0016529243953598684,-1.8175148963928223,glnK,1
1248,0.011706986309295116,1.8159939050674438,arpA,1
90,4.3838625731786205e-09,1.8147571086883545,sthA,1
351,2.926596161845392e-07,1.8131440877914429,yfiM,1
47,2.005137747194736e-09,-1.8081990480422974,grpE,1
361,3.8682503957074317e-07,-1.808098316192627,aspA,1
955,0.001480348679785541,1.8028680086135864,hyi,1
208,1.5881581809360245e-08,-1.7982062101364136,yhaO,1
30,1.4400378334723789e-09,1.787473201751709,sucB,1
985,0.00180547266583988,1.7728593349456787,leuL,1
714,0.0001256852939846517,1.7635833024978638,rstA,1
126,4.820811747655363e-09,-1.7577528953552246,htpG,1
924,0.0011491823437146703,1.7519004344940186,rpsE,1
211,1.6256007811361328e-08,1.7460639476776123,ppsA,1
627,3.9285378723705304e-05,-1.7399381399154663,ydcT,1
692,0.00010219979256473806,-1.737969160079956,ybhQ,1
555,1.3778565855358952e-05,-1.7322704792022705,hdeB,1
82,4.3838625731786205e-09,1.7315129041671753,moaC,1
1156,0.007105070951319866,1.7280234098434448,rplR,1
1491,0.03564835814041335,1.7276443243026733,ythA,1
272,4.053023252691091e-08,-1.7247462272644043,torY,1
1324,0.017494600307705173,1.7200833559036255,purE,1
261,3.451005239604833e-08,-1.7140811681747437,adiY,1
228,2.2916518925262384e-08,1.7089499235153198,gmhA,1
281,4.6383442775476306e-08,-1.707273006439209,lsrB,1
27,1.322930200184295e-09,-1.7005914449691772,fruB,1
743,0.00018389395106736643,1.6926593780517578,aroG,1
91,4.3838625731786205e-09,-1.683466911315918,gadB,1
50,2.005137747194736e-09,1.6834213733673096,sucD,1
295,7.190099109297645e-08,-1.681499719619751,yobF,1
1356,0.020991203295513593,1.6710891723632812,rpsN,1
531,8.97756631149067e-06,1.6654939651489258,psiE,1
122,4.556707691850564e-09,1.6598056554794312,sucA,1
954,0.0014458056416759505,1.6539192199707031,ariR,1
1027,0.0027013848191044286,-1.6530544757843018,ymfD,1
715,0.0001256852939846517,-1.6525415182113647,ybbW,1
442,1.880039711341642e-06,-1.6445281505584717,ibpA,1
175,8.979487057954079e-09,1.6412423849105835,tsf,1
454,2.4185886833860168e-06,1.6402456760406494,ydhR,1
354,3.11659875515557e-07,1.6389834880828857,ybiJ,1
984,0.00180547266583988,-1.635303020477295,sgcC,1
1229,0.010904263952989865,1.6323176622390747,ydjA,1
134,5.176467579223121e-09,1.630571961402893,yigI,1
1112,0.005614221669027205,1.6229233741760254,rluF,1
278,4.6383442775476306e-08,-1.6193403005599976,ygbL,1
603,2.7909030568750588e-05,1.6172609329223633,ybhC,1
554,1.3778565855358952e-05,1.6169297695159912,yajD,1
685,9.439558798361432e-05,-1.615188717842102,nadA,1
628,3.9285378723705304e-05,1.6050314903259277,glyQ,1
1202,0.009346174952861407,1.6038833856582642,acs,1
677,8.441798499805803e-05,-1.6014529466629028,appY,1
789,0.0003267103182092398,1.5996111631393433,ydfB,1
116,4.3838625731786205e-09,-1.5993032455444336,gadA,1
59,2.6490622771846843e-09,-1.5965341329574585,clpB,1
317,1.2151782997977683e-07,-1.5951049327850342,artQ,1
1545,0.04450129439358249,1.5934499502182007,rpsF,1
72,4.3838625731786205e-09,-1.592452883720398,yeaD,1
1241,0.011706986309295116,-1.5782523155212402,yccE,1
323,1.244782209964018e-07,1.5778683423995972,qorB,1
129,4.960057367599009e-09,1.573800802230835,puuR,1
719,0.00013305624938662322,1.56721830368042,hemB,1
550,1.2578838822071089e-05,-1.5632277727127075,ynfK,1
225,2.2916518925262384e-08,-1.5600427389144897,ygbK,1
387,6.847467766360403e-07,-1.5563018321990967,nac,1
1001,0.0020663188407541284,1.5543245077133179,serA,1
436,1.64904305253895e-06,-1.547099232673645,yqeB,1
128,4.960057367599009e-09,1.5470771789550781,mdaB,1
464,2.7357452406954243e-06,-1.5468868017196655,frlA,1
198,1.1380075469360726e-08,-1.5421298742294312,pyrF,1
210,1.6256007811361328e-08,-1.5418199300765991,dbpA,1
97,4.3838625731786205e-09,-1.5402859449386597,ydbJ,1
735,0.00016481382235517079,1.5400021076202393,rpe,1
486,3.7439725284819494e-06,-1.5371742248535156,ygjR,1
83,4.3838625731786205e-09,-1.5364854335784912,yciM,1
106,4.3838625731786205e-09,-1.5356323719024658,narU,1
37,1.7290286924116702e-09,-1.5352922677993774,groS,1
892,0.0008237616758928171,1.53318452835083,ppiD,1
156,7.56690383035521e-09,-1.5319620370864868,yhaH,1
880,0.0007090189376351646,1.5189892053604126,purC,1
453,2.4185886833860168e-06,1.5185738801956177,greA,1
136,5.369010909247508e-09,1.5149216651916504,moaD,1
1070,0.0038301455613801803,1.5125257968902588,yjcH,1
952,0.0014458056416759505,1.5026501417160034,panC,1
177,8.979487057954079e-09,1.5014700889587402,hha,1
776,0.0002788784546465046,1.5013353824615479,atpF,1
254,3.1082426455834477e-08,1.4976037740707397,leuA,1
583,2.0859543069888363e-05,-1.4962449073791504,patD,1
411,9.73530177926393e-07,-1.4956047534942627,yciH,1
170,8.524004618538604e-09,-1.489329218864441,cspC,1
283,4.9971271004423744e-08,1.4883770942687988,tauA,1
174,8.979487057954079e-09,-1.4870827198028564,ybbN,1
1014,0.0024841111285455893,1.4834587574005127,rpmD,1
733,0.00016067313370444447,-1.4815597534179688,xylG,1
410,9.73530177926393e-07,-1.4802021980285645,cspD,1
705,0.00011335864983138215,-1.4800461530685425,ydcS,1
621,3.7220045617491764e-05,-1.476757526397705,ydhY,1
1263,0.012603033538413935,1.4698628187179565,astC,1
1076,0.004098262132586608,1.4631558656692505,purR,1
572,1.8012193111417085e-05,-1.4627599716186523,gpr,1
241,2.6499339506950943e-08,1.46165132522583,ybiU,1
25,1.29743646294967e-09,1.4614816904067993,tomB,1
793,0.0003440172727665797,1.4577140808105469,ompG,1
885,0.0007440886956911783,1.4547926187515259,ompT,1
389,7.072264909818021e-07,-1.453916311264038,ygbJ,1
108,4.3838625731786205e-09,1.4472330808639526,gsiA,1
434,1.64904305253895e-06,1.4448332786560059,aldA,1
1041,0.002882051322766676,1.4447592496871948,panB,1
319,1.244782209964018e-07,1.4426029920578003,acnB,1
363,4.129344725641474e-07,1.4422190189361572,iscR,1
881,0.0007090189376351646,1.4355685710906982,ybgS,1
887,0.0007440886956911783,1.4344217777252197,purB,1
298,8.222687352771963e-08,-1.433117151260376,yagF,1
788,0.0003267103182092398,1.4318510293960571,yjdM,1
227,2.2916518925262384e-08,-1.4304441213607788,gadX,1
180,9.571757727176278e-09,1.429040551185608,pstS,1
195,1.0608000674345807e-08,-1.4281022548675537,mutM,1
373,4.655005804176498e-07,1.4248218536376953,tauB,1
1045,0.0029390941016392198,1.4233273267745972,metG,1
138,5.7347468881585895e-09,-1.4197121858596802,ybaO,1
1145,0.006573888345135221,1.4188179969787598,ydiJ,1
1003,0.002114459222832925,-1.417820930480957,sgcX,1
147,6.9069776618967016e-09,-1.4139460325241089,gadC,1
327,1.4401398298363257e-07,1.4085383415222168,iscS,1
456,2.4185886833860168e-06,1.4075425863265991,pepQ,1
322,1.244782209964018e-07,-1.4063985347747803,ytfK,1
407,9.473726733530688e-07,1.406313419342041,yhhQ,1
